waktu mulai => 2021 05 07 11:45:26
no => 1; cust id => 0030222939; subnet => S-001; jam => 2021 05 07 11:45:26
no => 2; cust id => 0007182389; subnet => S-005; jam => 2021 05 07 11:45:33
no => 3; cust id => 0054984133; subnet => S-015; jam => 2021 05 07 11:45:36
no => 4; cust id => 0000693523; subnet => S-001; jam => 2021 05 07 11:45:38
no => 5; cust id => 0042298703; subnet => S-001; jam => 2021 05 07 11:45:41
no => 6; cust id => 0048926729; subnet => S-001; jam => 2021 05 07 11:45:43
no => 7; cust id => 0004763827; subnet => S-001; jam => 2021 05 07 11:45:46
no => 8; cust id => 0049180854; subnet => S-001; jam => 2021 05 07 11:45:49
no => 9; cust id => 0049838790; subnet => S-001; jam => 2021 05 07 11:45:52
no => 10; cust id => 0048560742; subnet => S-001; jam => 2021 05 07 11:45:54
no => 11; cust id => 0029663861; subnet => S-001; jam => 2021 05 07 11:45:56
no => 12; cust id => 0000286625; subnet => S-001; jam => 2021 05 07 11:46:02
no => 13; cust id => 0002275139; subnet => S-007; jam => 2021 05 07 11:46:06
no => 14; cust id => 0002378040; subnet => S-008; jam => 2021 05 07 11:46:12
no => 15; cust id => 0001138817; subnet => S-016; jam => 2021 05 07 11:46:20
no => 16; cust id => 0000191627; subnet => S-001; jam => 2021 05 07 11:46:23
no => 17; cust id => 0018132241; subnet => S-001; jam => 2021 05 07 11:46:31
no => 18; cust id => 0003568359; subnet => S-003; jam => 2021 05 07 11:46:36
no => 19; cust id => 0001217033; subnet => S-002; jam => 2021 05 07 11:46:43
no => 20; cust id => 0029147022; subnet => S-013; jam => 2021 05 07 11:46:47
no => 21; cust id => 0029685872; subnet => S-008; jam => 2021 05 07 11:46:52
no => 22; cust id => 0021212139; subnet => S-001; jam => 2021 05 07 11:46:56
no => 23; cust id => 0003385234; subnet => S-002; jam => 2021 05 07 11:47:01
no => 24; cust id => 0030392781; subnet => S-001; jam => 2021 05 07 11:47:04
no => 25; cust id => 0041334715; subnet => S-001; jam => 2021 05 07 11:47:12
no => 26; cust id => 0021221890; subnet => S-001; jam => 2021 05 07 11:47:15
no => 27; cust id => 0026448027; subnet => S-001; jam => 2021 05 07 11:47:23
no => 28; cust id => 0001859727; subnet => S-010; jam => 2021 05 07 11:47:30
no => 29; cust id => 0000528828; subnet => S-001; jam => 2021 05 07 11:47:36
no => 30; cust id => 0052632759; subnet => S-001; jam => 2021 05 07 11:47:43
no => 31; cust id => 0040554792; subnet => S-001; jam => 2021 05 07 11:47:51
no => 32; cust id => 0042188714; subnet => S-001; jam => 2021 05 07 11:47:58
no => 33; cust id => 0010429124; subnet => S-013; jam => 2021 05 07 11:48:04
no => 34; cust id => 0050606771; subnet => S-001; jam => 2021 05 07 11:48:13
no => 35; cust id => 0000967927; subnet => S-001; jam => 2021 05 07 11:48:21
no => 36; cust id => 0005972856; subnet => S-001; jam => 2021 05 07 11:48:30
no => 37; cust id => 0003628229; subnet => S-001; jam => 2021 05 07 11:48:36
no => 38; cust id => 0028396315; subnet => S-001; jam => 2021 05 07 11:48:39
no => 39; cust id => 0001243336; subnet => S-002; jam => 2021 05 07 11:48:45
no => 40; cust id => 0000827121; subnet => S-001; jam => 2021 05 07 11:49:01
no => 41; cust id => 0001560358; subnet => S-003; jam => 2021 05 07 11:49:07
no => 42; cust id => 0000185223; subnet => S-001; jam => 2021 05 07 11:49:12
no => 43; cust id => 0043474733; subnet => S-001; jam => 2021 05 07 11:49:18
no => 44; cust id => 0022049407; subnet => S-001; jam => 2021 05 07 11:49:28
no => 45; cust id => 0000354027; subnet => S-001; jam => 2021 05 07 11:49:39
no => 46; cust id => 0006154504; subnet => S-001; jam => 2021 05 07 11:49:41
no => 47; cust id => 0004189148; subnet => S-001; jam => 2021 05 07 11:49:46
no => 48; cust id => 0021162524; subnet => S-001; jam => 2021 05 07 11:49:51
no => 49; cust id => 0001900828; subnet => S-010; jam => 2021 05 07 11:49:54
no => 50; cust id => 0002559243; subnet => S-008; jam => 2021 05 07 11:49:56
no => 51; cust id => 0048180780; subnet => S-011; jam => 2021 05 07 11:49:59
no => 52; cust id => 0000812529; subnet => S-001; jam => 2021 05 07 11:50:02
no => 53; cust id => 0030127997; subnet => S-001; jam => 2021 05 07 11:50:08
no => 54; cust id => 0015776248; subnet => S-001; jam => 2021 05 07 11:50:12
no => 55; cust id => 0001041524; subnet => S-001; jam => 2021 05 07 11:50:26
no => 56; cust id => 0001260934; subnet => S-002; jam => 2021 05 07 11:50:40
no => 57; cust id => 0029564911; subnet => S-010; jam => 2021 05 07 11:50:46
no => 58; cust id => 0001524255; subnet => S-003; jam => 2021 05 07 11:50:52
no => 59; cust id => 0003477049; subnet => S-001; jam => 2021 05 07 11:50:58
no => 60; cust id => 0029750676; subnet => S-001; jam => 2021 05 07 11:51:05
no => 61; cust id => 0021125984; subnet => S-001; jam => 2021 05 07 11:51:14
no => 62; cust id => 0002557148; subnet => S-008; jam => 2021 05 07 11:51:22
no => 63; cust id => 0000151621; subnet => S-001; jam => 2021 05 07 11:51:30
no => 64; cust id => 0002245249; subnet => S-001; jam => 2021 05 07 11:51:34
no => 65; cust id => 0006646269; subnet => S-001; jam => 2021 05 07 11:51:41
no => 66; cust id => 0000484725; subnet => S-001; jam => 2021 05 07 11:51:53
no => 67; cust id => 0028855922; subnet => S-002; jam => 2021 05 07 11:52:05
no => 68; cust id => 0000864223; subnet => S-001; jam => 2021 05 07 11:52:12
no => 69; cust id => 0013436258; subnet => S-001; jam => 2021 05 07 11:52:21
no => 70; cust id => 0000509927; subnet => S-001; jam => 2021 05 07 11:52:30
no => 71; cust id => 0001511054; subnet => S-003; jam => 2021 05 07 11:52:33
no => 72; cust id => 0001570555; subnet => S-003; jam => 2021 05 07 11:52:38
no => 73; cust id => 0010334282; subnet => S-001; jam => 2021 05 07 11:52:43
no => 74; cust id => 0037024726; subnet => S-001; jam => 2021 05 07 11:52:52
no => 75; cust id => 0002123412; subnet => S-001; jam => 2021 05 07 11:53:05
no => 76; cust id => 0002327732; subnet => S-007; jam => 2021 05 07 11:53:12
no => 77; cust id => 0049150709; subnet => S-001; jam => 2021 05 07 11:53:18
no => 78; cust id => 0024394751; subnet => S-001; jam => 2021 05 07 11:53:25
no => 79; cust id => 0002645968; subnet => S-001; jam => 2021 05 07 11:53:37
no => 80; cust id => 0002307239; subnet => S-007; jam => 2021 05 07 11:53:44
no => 81; cust id => 0000339325; subnet => S-001; jam => 2021 05 07 11:53:50
no => 82; cust id => 0012922340; subnet => S-013; jam => 2021 05 07 11:53:59
no => 83; cust id => 0004597621; subnet => S-010; jam => 2021 05 07 11:54:08
no => 84; cust id => 0047034715; subnet => S-001; jam => 2021 05 07 11:54:11
no => 85; cust id => 0003595840; subnet => S-008; jam => 2021 05 07 11:54:19
no => 86; cust id => 0000337121; subnet => S-001; jam => 2021 05 07 11:54:35
no => 87; cust id => 0001538057; subnet => S-003; jam => 2021 05 07 11:54:38
no => 88; cust id => 0001263631; subnet => S-002; jam => 2021 05 07 11:54:48
no => 89; cust id => 0030331904; subnet => S-001; jam => 2021 05 07 11:54:56
no => 90; cust id => 0046632741; subnet => S-001; jam => 2021 05 07 11:55:04
no => 91; cust id => 0004823449; subnet => S-001; jam => 2021 05 07 11:55:12
no => 92; cust id => 0002284339; subnet => S-007; jam => 2021 05 07 11:55:17
no => 93; cust id => 0009846247; subnet => S-001; jam => 2021 05 07 11:55:21
no => 94; cust id => 0048746788; subnet => S-001; jam => 2021 05 07 11:55:23
no => 95; cust id => 0042108720; subnet => S-001; jam => 2021 05 07 11:55:30
no => 96; cust id => 0050640770; subnet => S-001; jam => 2021 05 07 11:55:36
no => 97; cust id => 0029980224; subnet => S-001; jam => 2021 05 07 11:55:45
no => 98; cust id => 0002331635; subnet => S-007; jam => 2021 05 07 11:55:57
no => 99; cust id => 0028652774; subnet => S-001; jam => 2021 05 07 11:56:05
no => 100; cust id => 0002374049; subnet => S-008; jam => 2021 05 07 11:56:09
no => 101; cust id => 0028983120; subnet => S-001; jam => 2021 05 07 11:56:12
no => 102; cust id => 0001336353; subnet => S-003; jam => 2021 05 07 11:56:19
no => 103; cust id => 0004549218; subnet => S-001; jam => 2021 05 07 11:56:25
no => 104; cust id => 0001015023; subnet => S-001; jam => 2021 05 07 11:56:33
no => 105; cust id => 0043272798; subnet => S-001; jam => 2021 05 07 11:56:41
no => 106; cust id => 0030086797; subnet => S-001; jam => 2021 05 07 11:56:50
no => 107; cust id => 0017096264; subnet => S-013; jam => 2021 05 07 11:56:57
no => 108; cust id => 0028936508; subnet => S-001; jam => 2021 05 07 11:57:11
no => 109; cust id => 0040158750; subnet => S-003; jam => 2021 05 07 11:57:15
no => 110; cust id => 0007255516; subnet => S-008; jam => 2021 05 07 11:57:23
no => 111; cust id => 0029973104; subnet => S-001; jam => 2021 05 07 11:57:30
no => 112; cust id => 0021575345; subnet => S-001; jam => 2021 05 07 11:57:38
no => 113; cust id => 0050600790; subnet => S-001; jam => 2021 05 07 11:57:44
no => 114; cust id => 0009514555; subnet => S-001; jam => 2021 05 07 11:57:47
no => 115; cust id => 0030291579; subnet => S-001; jam => 2021 05 07 11:57:55
no => 116; cust id => 0023548126; subnet => S-001; jam => 2021 05 07 11:58:02
no => 117; cust id => 0004102828; subnet => S-001; jam => 2021 05 07 11:58:08
no => 118; cust id => 0000408229; subnet => S-001; jam => 2021 05 07 11:58:12
no => 119; cust id => 0053392726; subnet => S-001; jam => 2021 05 07 11:58:18
no => 120; cust id => 0011356268; subnet => S-001; jam => 2021 05 07 11:58:35
no => 121; cust id => 0018002592; subnet => S-013; jam => 2021 05 07 11:58:42
no => 122; cust id => 0047942727; subnet => S-001; jam => 2021 05 07 11:58:46
no => 123; cust id => 0027272079; subnet => S-001; jam => 2021 05 07 11:58:49
no => 124; cust id => 0008101552; subnet => S-001; jam => 2021 05 07 11:58:57
no => 125; cust id => 0002125326; subnet => S-001; jam => 2021 05 07 11:59:03
no => 126; cust id => 0004115440; subnet => S-008; jam => 2021 05 07 11:59:11
no => 127; cust id => 0013682216; subnet => S-001; jam => 2021 05 07 11:59:19
no => 128; cust id => 0045568755; subnet => S-001; jam => 2021 05 07 11:59:28
no => 129; cust id => 0029136884; subnet => S-007; jam => 2021 05 07 11:59:40
no => 130; cust id => 0050990738; subnet => S-008; jam => 2021 05 07 11:59:49
no => 131; cust id => 0050990738; subnet => S-008; jam => 2021 05 07 11:59:57
file exists => 0050990738
no => 132; cust id => 0052718707; subnet => S-001; jam => 2021 05 07 11:59:57
no => 133; cust id => 0039012760; subnet => S-008; jam => 2021 05 07 12:00:03
no => 134; cust id => 0001094028; subnet => S-001; jam => 2021 05 07 12:00:12
no => 135; cust id => 0004288544; subnet => S-001; jam => 2021 05 07 12:00:20
no => 136; cust id => 0000997528; subnet => S-001; jam => 2021 05 07 12:00:28
no => 137; cust id => 0030409353; subnet => S-003; jam => 2021 05 07 12:00:32
no => 138; cust id => 0002631844; subnet => S-008; jam => 2021 05 07 12:00:35
no => 139; cust id => 0002107324; subnet => S-001; jam => 2021 05 07 12:00:38
no => 140; cust id => 0004116026; subnet => S-001; jam => 2021 05 07 12:00:45
no => 141; cust id => 0000606327; subnet => S-001; jam => 2021 05 07 12:00:52
no => 142; cust id => 0004720124; subnet => S-001; jam => 2021 05 07 12:01:10
no => 143; cust id => 0003313525; subnet => S-001; jam => 2021 05 07 12:01:17
no => 144; cust id => 0004695342; subnet => S-001; jam => 2021 05 07 12:01:20
no => 145; cust id => 0028721272; subnet => S-011; jam => 2021 05 07 12:01:27
no => 146; cust id => 0006398663; subnet => S-001; jam => 2021 05 07 12:01:29
no => 147; cust id => 0000295725; subnet => S-001; jam => 2021 05 07 12:01:36
no => 148; cust id => 0010310258; subnet => S-001; jam => 2021 05 07 12:01:42
no => 149; cust id => 0045410768; subnet => S-001; jam => 2021 05 07 12:01:50
no => 150; cust id => 0000096420; subnet => S-001; jam => 2021 05 07 12:01:58
no => 151; cust id => 0004830121; subnet => S-001; jam => 2021 05 07 12:02:04
no => 152; cust id => 0000685222; subnet => S-001; jam => 2021 05 07 12:02:08
no => 153; cust id => 0003360443; subnet => S-013; jam => 2021 05 07 12:02:14
no => 154; cust id => 0029969128; subnet => S-008; jam => 2021 05 07 12:02:17
no => 155; cust id => 0000751123; subnet => S-001; jam => 2021 05 07 12:02:33
no => 156; cust id => 0002112522; subnet => S-001; jam => 2021 05 07 12:02:39
no => 157; cust id => 0001562859; subnet => S-003; jam => 2021 05 07 12:02:47
no => 158; cust id => 0054570742; subnet => S-001; jam => 2021 05 07 12:02:53
no => 159; cust id => 0000037127; subnet => S-001; jam => 2021 05 07 12:02:59
no => 160; cust id => 0025296039; subnet => S-013; jam => 2021 05 07 12:03:07
no => 161; cust id => 0002652147; subnet => S-008; jam => 2021 05 07 12:03:10
no => 162; cust id => 0006321194; subnet => S-010; jam => 2021 05 07 12:03:20
no => 163; cust id => 0000045724; subnet => S-001; jam => 2021 05 07 12:03:26
no => 164; cust id => 0021656723; subnet => S-002; jam => 2021 05 07 12:03:38
no => 165; cust id => 0021561048; subnet => S-001; jam => 2021 05 07 12:03:53
no => 166; cust id => 0040876773; subnet => S-001; jam => 2021 05 07 12:04:02
no => 167; cust id => 0000589226; subnet => S-001; jam => 2021 05 07 12:04:11
no => 168; cust id => 0033506783; subnet => S-001; jam => 2021 05 07 12:04:16
no => 169; cust id => 0003440740; subnet => S-001; jam => 2021 05 07 12:04:27
no => 170; cust id => 0036382737; subnet => S-013; jam => 2021 05 07 12:04:36
no => 171; cust id => 0030265854; subnet => S-001; jam => 2021 05 07 12:04:42
no => 172; cust id => 0002626646; subnet => S-008; jam => 2021 05 07 12:04:58
no => 173; cust id => 0043648740; subnet => S-003; jam => 2021 05 07 12:05:05
no => 174; cust id => 0000678425; subnet => S-001; jam => 2021 05 07 12:05:12
no => 175; cust id => 0013604269; subnet => S-001; jam => 2021 05 07 12:05:16
no => 176; cust id => 0004681227; subnet => S-001; jam => 2021 05 07 12:05:20
no => 177; cust id => 0000888222; subnet => S-001; jam => 2021 05 07 12:05:22
no => 178; cust id => 0008782336; subnet => S-013; jam => 2021 05 07 12:05:28
no => 179; cust id => 0004642948; subnet => S-001; jam => 2021 05 07 12:05:33
no => 180; cust id => 0001443852; subnet => S-003; jam => 2021 05 07 12:05:35
no => 181; cust id => 0002364032; subnet => S-007; jam => 2021 05 07 12:05:41
no => 182; cust id => 0006170328; subnet => S-010; jam => 2021 05 07 12:05:43
no => 183; cust id => 0001913623; subnet => S-010; jam => 2021 05 07 12:05:49
no => 184; cust id => 0022238505; subnet => S-001; jam => 2021 05 07 12:05:56
no => 185; cust id => 0000448621; subnet => S-001; jam => 2021 05 07 12:05:59
no => 186; cust id => 0009646258; subnet => S-001; jam => 2021 05 07 12:06:09
no => 187; cust id => 0002118925; subnet => S-001; jam => 2021 05 07 12:06:15
no => 188; cust id => 0021406285; subnet => S-001; jam => 2021 05 07 12:06:17
no => 189; cust id => 0004543047; subnet => S-013; jam => 2021 05 07 12:06:27
no => 190; cust id => 0021465463; subnet => S-001; jam => 2021 05 07 12:06:33
no => 191; cust id => 0047006754; subnet => S-007; jam => 2021 05 07 12:06:39
no => 192; cust id => 0001516251; subnet => S-003; jam => 2021 05 07 12:06:45
no => 193; cust id => 0000417626; subnet => S-001; jam => 2021 05 07 12:06:47
no => 194; cust id => 0000646026; subnet => S-001; jam => 2021 05 07 12:06:53
no => 195; cust id => 0003221728; subnet => S-001; jam => 2021 05 07 12:07:00
no => 196; cust id => 0003296258; subnet => S-003; jam => 2021 05 07 12:07:07
no => 197; cust id => 0021967526; subnet => S-001; jam => 2021 05 07 12:07:14
no => 198; cust id => 0001912807; subnet => S-009; jam => 2021 05 07 12:07:21
no => 199; cust id => 0048936835; subnet => S-001; jam => 2021 05 07 12:07:27
no => 200; cust id => 0021245972; subnet => S-001; jam => 2021 05 07 12:07:33
no => 201; cust id => 0028971729; subnet => S-001; jam => 2021 05 07 12:07:38
no => 202; cust id => 0028728616; subnet => S-001; jam => 2021 05 07 12:07:45
no => 203; cust id => 0001411057; subnet => S-003; jam => 2021 05 07 12:07:53
no => 204; cust id => 0042508739; subnet => S-001; jam => 2021 05 07 12:07:57
no => 205; cust id => 0000412320; subnet => S-001; jam => 2021 05 07 12:08:03
no => 206; cust id => 0028768307; subnet => S-001; jam => 2021 05 07 12:08:14
no => 207; cust id => 0029414497; subnet => S-003; jam => 2021 05 07 12:08:21
no => 208; cust id => 0021576624; subnet => S-001; jam => 2021 05 07 12:08:23
no => 209; cust id => 0053704730; subnet => S-017; jam => 2021 05 07 12:08:30
no => 210; cust id => 0001464452; subnet => S-003; jam => 2021 05 07 12:08:34
no => 211; cust id => 0003338043; subnet => S-013; jam => 2021 05 07 12:08:41
no => 212; cust id => 0028918555; subnet => S-013; jam => 2021 05 07 12:08:44
no => 213; cust id => 0001408459; subnet => S-003; jam => 2021 05 07 12:08:47
no => 214; cust id => 0030247761; subnet => S-001; jam => 2021 05 07 12:08:53
no => 215; cust id => 0028516821; subnet => S-001; jam => 2021 05 07 12:08:59
no => 216; cust id => 0038682936; subnet => S-001; jam => 2021 05 07 12:09:04
no => 217; cust id => 0015226251; subnet => S-001; jam => 2021 05 07 12:09:07
no => 218; cust id => 0021462742; subnet => S-001; jam => 2021 05 07 12:09:11
no => 219; cust id => 0002556645; subnet => S-008; jam => 2021 05 07 12:09:18
no => 220; cust id => 0002433845; subnet => S-008; jam => 2021 05 07 12:09:21
no => 221; cust id => 0047444799; subnet => S-001; jam => 2021 05 07 12:09:29
no => 222; cust id => 0001987759; subnet => S-012; jam => 2021 05 07 12:09:33
no => 223; cust id => 0003775020; subnet => S-001; jam => 2021 05 07 12:09:35
no => 224; cust id => 0004011656; subnet => S-012; jam => 2021 05 07 12:09:40
no => 225; cust id => 0000238626; subnet => S-001; jam => 2021 05 07 12:09:47
no => 226; cust id => 0000998021; subnet => S-001; jam => 2021 05 07 12:09:54
no => 227; cust id => 0000824227; subnet => S-001; jam => 2021 05 07 12:10:01
no => 228; cust id => 0004773255; subnet => S-012; jam => 2021 05 07 12:10:08
no => 229; cust id => 0046886719; subnet => S-010; jam => 2021 05 07 12:10:16
no => 230; cust id => 0004123840; subnet => S-001; jam => 2021 05 07 12:10:25
no => 231; cust id => 0000588020; subnet => S-001; jam => 2021 05 07 12:10:34
no => 232; cust id => 0000791921; subnet => S-001; jam => 2021 05 07 12:10:42
no => 233; cust id => 0042266890; subnet => S-008; jam => 2021 05 07 12:10:48
no => 234; cust id => 0002616449; subnet => S-008; jam => 2021 05 07 12:10:54
no => 235; cust id => 0029468527; subnet => S-001; jam => 2021 05 07 12:10:59
no => 236; cust id => 0029243888; subnet => S-001; jam => 2021 05 07 12:11:04
no => 237; cust id => 0003172624; subnet => S-001; jam => 2021 05 07 12:11:09
no => 238; cust id => 0009236241; subnet => S-001; jam => 2021 05 07 12:11:15
no => 239; cust id => 0023928146; subnet => S-001; jam => 2021 05 07 12:11:22
no => 240; cust id => 0021555289; subnet => S-001; jam => 2021 05 07 12:11:32
no => 241; cust id => 0042110718; subnet => S-001; jam => 2021 05 07 12:11:39
no => 242; cust id => 0011926367; subnet => S-001; jam => 2021 05 07 12:11:43
no => 243; cust id => 0001059021; subnet => S-001; jam => 2021 05 07 12:11:48
no => 244; cust id => 0001588052; subnet => S-003; jam => 2021 05 07 12:11:53
no => 245; cust id => 0002435006; subnet => S-009; jam => 2021 05 07 12:11:59
no => 246; cust id => 0000599423; subnet => S-001; jam => 2021 05 07 12:12:06
no => 247; cust id => 0028807378; subnet => S-001; jam => 2021 05 07 12:12:15
